,Title,Published_date,Views,Likes,Comments,Month
77,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12763,529,112,Aug
78,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10168,432,32,Aug
79,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,40872,1594,32,Aug
80,How I Learned to Learn.,2021-07-31,50750,2363,209,Jul
81,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,10395,580,50,Jul
82,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2389,93,30,Jul
83,Why are APIs Important for Data Science?,2021-07-09,9826,451,95,Jul
84,Is Your Phone REALLY Listening to You?,2021-07-03,5164,280,116,Jul
85,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,14975,595,121,Jun
86,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4085,226,41,Jun
87,#66DaysOfData - What is it? #shorts,2021-06-11,9081,389,54,Jun
88,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16600,1013,89,Jun
89,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7441,392,195,May
90,How Data Science Projects Pay Off,2021-05-22,10604,596,146,May
91,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10571,490,134,May
92,What is a lambda function (python)? #shorts,2021-05-13,15196,941,49,May
93,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,29021,1551,64,May
94,What is Pandas? (Data & Data Science) #shorts,2021-04-30,23496,1206,87,Apr
95,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,76928,3429,283,Apr
96,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23447,691,85,Apr
97,Why You Probably Won't Become a Data Scientist,2021-04-09,137793,4037,480,Apr
98,How to Go From Data Analyst to Data Scientist,2021-04-02,53309,1530,177,Apr
99,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3971,138,92,Mar
100,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18154,349,108,Mar
101,My Regrets as a Data Science Student,2021-03-12,23906,880,112,Mar
102,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3827,196,83,Mar
103,What is the Future of my Comment Leaderboard Project?,2021-02-26,5566,201,81,Feb
104,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6678,172,51,Feb
105,Why I Quit Data Science,2021-02-12,104505,2342,346,Feb
106,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10664,554,116,Jan
107,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6991,294,126,Jan
108,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,9602,299,52,Jan
109,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,22405,694,134,Jan
110,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,37345,1136,147,Jan
111,What is the #66DaysOfData?,2020-12-26,69640,2319,202,Dec
112,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131373,5973,488,Dec
113,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10854,396,133,Dec
114,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23443,726,326,Dec
115,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,27617,852,160,Nov
116,6 Lessons from #66DaysOfData,2020-11-13,6722,340,93,Nov
117,100K Channel Update + AMA Stream!,2020-11-12,2319,127,22,Nov
118,Find a Data Science Project With These 3 Techniques,2020-11-06,16705,723,106,Nov
119,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,26664,669,155,Oct
120,git for Data Science Made Simple... (Hopefully),2020-10-23,19282,860,92,Oct
121,The PODCAST you might have asked for?,2020-10-19,2112,94,44,Oct
122,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6726,448,113,Oct
123,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,13969,408,47,Oct
124,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6729,142,62,Oct
125,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,11238,558,83,Oct
126,Sh*t Data Scientists Say (Parody),2020-10-05,9449,577,143,Oct
127,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8611,366,93,Oct
128,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7063,289,61,Sep
129,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11573,290,69,Sep
130,5 Essential Data Science Projects for Your Portfolio,2020-09-26,72420,3098,206,Sep
131,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5174,197,64,Sep
132,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,11467,454,58,Sep
133,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7422,251,34,Sep
134,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5096,193,56,Sep
135,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4212,157,35,Sep
136,The 5 Pillars of Success I Live By,2020-09-11,10132,874,152,Sep
137,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1889,78,25,Sep
138,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4022,162,43,Sep
139,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11792,735,144,Sep
140,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,17915,569,89,Sep
141,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,17799,794,93,Aug
